Username,Label,Tweet
repkevinhern,1,"Iran did not dare to try something like this during President Trump’s campaign of maximum pressure.   Biden’s policy of appeasing Iran has clearly failed. We’ve gone from peace through strength to war through weakness. https://t.co/B8pJ9RfAC1"
repkevinhern,1,".@WSJ Editorial Board: Beware a tax collector bearing gifts…sure.   https://t.co/gwZsuONkBS"
repkevinhern,1,"Very proud to have kept employees paid during the pandemic when businesses were forced to shut down at no fault of their own.   Millions of small businesses across the country did the same.  If the White House wants to attack that, I’ll win that fight any day of the week. https://t.co/sP4uGfPqKa"
repkevinhern,1,"Later today, I will be supporting a warrant requirement as a part of the FISA reauthorization.  It’s a shame that the Biden White House wants to kill this bipartisan amendment to protect American citizens from spying."
repkevinhern,1,"Biden's debt transfer scheme puts the burden on taxpayers, forcing the 87% without loans to foot the bill for the 13% who do.  Saddling the hardworking taxpayers of America with such a debt transfer will only make life more unaffordable. He’s buying votes during an election year. https://t.co/5gy2Ywt2CU"
repkevinhern,1,"""Bidenomics"" touts job creation, but the reality? At least 1.6 million new jobs are because hard-working people have two or more jobs just to make ends meet. Meanwhile, households are bleeding an extra $12,590 a year due to soaring costs.   Hardly a win for the American people. https://t.co/NYXK6CrlvO"
repkevinhern,1,"It’s truly alarming that the @WhiteHouse doesn’t understand the purpose and implementation of the Paycheck Protection Program. https://t.co/ZDXovWwI8d"
repkevinhern,1,"As Japanese Prime Minister Kishida speaks to Congress, Biden's weakness on China is crystal clear. His spineless approach emboldens Beijing, endangering us all.   Unlike President Trump, he's lacked the guts to defend America against the CCP's malign influence."
repkevinhern,1,"Even CNN can’t do Biden’s bidding on the economy anymore. We’ve known this all along: the American people cannot afford ""Bidenomics."" https://t.co/e090I6wFWQ"
repkevinhern,1,"Congratulations to my dear friend @TomColeOK04, our new Chairman of @HouseAppropsGOP. Tom’s leadership in this role will greatly benefit Oklahoma.   I look forward to working together to rein in federal spending and deliver results for the people of Oklahoma. https://t.co/B5JtxUJ3OJ"
repkevinhern,1,"Let’s be clear: nothing the government does is “free.” Taxpayers are rightly worried about the IRS taking on the roles of tax preparer, filer, and auditor. https://t.co/6c4BgYfq30"
repkevinhern,1,"I’ve long called for Secretary Alejandro Mayorkas's resignation or impeachment &amp; removal from office. He has abandoned our Nation’s laws and imperiled our communities in crisis.   The House has done its job—the Senate should act. https://t.co/8xRhBiP7F8"
repkevinhern,1,"Today, I’m with my colleagues in Chicago, Illinois, as we discuss a critical component of escaping poverty: the dignity of work. I’m eager to listen to the witnesses and be inspired by their journeys. Tune in 👇 https://t.co/YlBpbgUve9"
repkevinhern,1,"RT @AIPAC: Thank you @repkevinhern for standing with our ally Israel!  #FreeTheHostages  #StandWithIsrael"
repkevinhern,1,"While Israel defends its right to exist, the White House bows to the radical left by choosing to abandon our strongest ally.   It is unacceptable, but six months later, we reaffirm our unwavering support for Israel. Am Yisrael Chai! 🇺🇸🇮🇱"
repkevinhern,1,"Yesterday marked six months since Iranian-backed Hamas terrorists killed over a thousand innocent civilians, including concert-goers, families, and children.   Hamas kidnapped hundreds of hostages and committed horrendous atrocities against civilians."
repkevinhern,1,"🚨Joining @NEWSMAX live with @toddstarnes - tune in!"
repkevinhern,1,"On April 5th, we honor Gold Star Spouses Day. Let us remember, not just today, but every day, the ultimate sacrifice made by the fallen. Today, we pay tribute to the spouses and families who have also sacrificed so much.   We are a grateful nation. May God bless them. https://t.co/KbbNmgUdav"
repkevinhern,1,"Joe Biden ended President Trump’s successful border security policies the first day he was sworn in.   Joe Biden must build the wall, end catch-and-release and end the crisis HE created."
repkevinhern,1,"This White House is all about appeasement. Instead of standing strong against the Chinese Communist Party’s malign influence, they'd rather appease the CCP. Outrageous! https://t.co/OiAUBZKECs"
repkevinhern,1,"RT @AFPGovAffairs: Biden is ✂️ Medicare benefits for seniors. Read that again: @POTUS is cutting Medicare benefits 💲 for seniors. Americans…"
repkevinhern,1,"Earlier this week, I joined @JoeTalkShow to discuss the disastrous situation at the Southern Border and the threat the Chinese Communist Party poses to the sovereignty of our country. Tune in👇https://t.co/FW1lZXXXbs"
repkevinhern,1,"@NYCMayor No US official at any level of government should be celebrating the CCP.   https://t.co/yO4VwDOHgO"
repkevinhern,1,"@NYCMayor It just keeps going.   https://t.co/sr1ookPrFq"
repkevinhern,1,"@NYCMayor A simple Google search brings up pages of hits showing Eric Adams’ ties to the CCP. This is deeply concerning.   https://t.co/IArNmeShY7"
repkevinhern,1,"@NYCMayor The Mayor of the largest city in America shouldn’t be this close with America’s greatest adversary.   https://t.co/qlyxZceQeM"
repkevinhern,1,"It seems this kind of behavior isn’t new for @NYCMayor Eric Adams.   https://t.co/KAH9bbbmgs"
repkevinhern,1,"Why is Eric Adams doing favors for the CCP? Our friendship with &amp; support for Taiwan is more important today than ever before. https://t.co/68KTVzki3V"
repkevinhern,1,"While Minnesota schools spend big on 'anti-racist' initiatives, teachers struggle on $41,000 dollars per year.   The left would rather focus on indoctrination over investing in educators and student outcomes. https://t.co/XoqwAjU7en"
repkevinhern,1,"Our prayers are with the people of Taiwan. When I was there last year, I was inspired by the tenacity of the Taiwanese people.   Today, I’m reminded of their grit and determination as they begin to rebuild following the devastating earthquake."
repkevinhern,1,"RT @JoeTalkShow: You in here? Pags Parody about KJP up next and  we have @repkevinhern at 8:30pm East!  Let's go!  https://t.co/h4eS1s17ev"
repkevinhern,1,"The Biden White House attacks me for wanting to fix and save Medicare, meanwhile @JoeBiden is actively cutting Medicare for 33 million seniors.    https://t.co/V5izi2MKbv"
repkevinhern,1,"For 178 days, hostages have been held captive in Gaza by Hamas terrorists.   Instead of securing their release, Joe Biden would rather appease the radical left and criticize Israel’s fight for its survival."
repkevinhern,1,"As $380 million flows to bolster border security in the Middle East, our own southern border remains vulnerable.   Let's remember: our national security begins right here at home. https://t.co/YAKjv8gHy3"
repkevinhern,1,"Happy Easter Sunday, He is risen! https://t.co/9mP0P19ML9"
repkevinhern,1,"In Biden’s America it’s no longer Easter Sunday, it’s “Transgender Visibility Day.”  Make no mistake: this Holy Weekend is about the resurrection of our Lord and Savior. https://t.co/2GIOZ47W6m"
repkevinhern,1,"Today would be a good day for @tiktok_us to divest from the Chinese Communist Party. #SaveTikTok"
repkevinhern,1,"RT @RepublicanStudy: Biden's budget: tax, spend, rinse, repeat. https://t.co/iYRjoKpkLu"
repkevinhern,1,"RT @PSOklahoma: Crews are responding to a transmission outage in the Tulsa area. Estimated restoration times are available on the outage ma…"
repkevinhern,1,"China’s malign influence in our schools should serve as a wake up call. It’s time for Congress to act! https://t.co/k7rziXkWr1"
repkevinhern,1,"Oklahoma’s oil and natural gas fuels America. I will always fight against Joe Biden’s unprecedented war on American energy. https://t.co/klrmtI6dCl"
repkevinhern,1,"The crisis at the Southern Border isn't just a distant issue—it's infiltrating every aspect of daily life in cities everywhere.  Whether jogging or just driving, its impact is unavoidable. https://t.co/7RDyGHMZdT"
repkevinhern,1,"RT @RepublicanStudy: ICYMI: The 'extreme' Social Security move that actually makes sense | @rickjnewman @YahooFinance https://t.co/6A003iHQ…"
repkevinhern,1,"@DailyCaller Stop the reckless spending."
repkevinhern,1,"@DailyCaller We stand with Israel."
repkevinhern,1,"@DailyCaller Build the wall (asap)."
repkevinhern,1,"@DailyCaller Stop funding sanctuary cities."
repkevinhern,1,"This isn't about words, it's about action! It's time to show our unwavering support for Israel as it fights for survival. I stand firmly with Israel, always have, always will. https://t.co/udMVihsIt3"
